wrong_errortype,correct_errortype,wrong_sentence,correct_sentence
AGN,FN,"So, the airplane is definitely an important invention, because it has changed people's | life in wars. Now, it is important in the transport of thousands and thousands of people around the world. Let's congratulate Santos Dummont! ","So, the airplane is definitely an important invention, because it has changed people's | lives in wars. Now, it is important in the transport of thousands and thousands of people around the world. Let's congratulate Santos Dummont! "
AS,X,"And , there should be a robotic servant in everyone's home. So there'll be no need for people to do the housework. There will be no beds at home because some pills will be invented to | prevent people not sleepy. If you're tired, the pill can give you vitamins, proteins and make you refreshed. ","And , there should be a robotic servant in everyone's home. So there'll be no need for people to do the housework. There will be no beds at home because some pills will be invented to | prevent people becoming sleepy. If you're tired, the pill can give you vitamins, proteins and make you refreshed. "
UA,UN,"On the other hand, despite the fact that you said that it was starring Danny Brook and Tina Truelove, I must tell you that Danny Brook did not appear at all. Instead of him there was another actor who could neither act nor sing, and, even though , it was a Musical | Show. ","On the other hand, despite the fact that you said that it was starring Danny Brook and Tina Truelove, I must tell you that Danny Brook did not appear at all. Instead of him there was another actor who could neither act nor sing, and, even though , it was a Musical | . "
MP,MN,"I imagine they will be very different. Scientists will invent new materials that will keep the | temperature in a suitable range. In that way people won't feel cold or hot, they will always be at the same temperature. In addition these new materials will weigh hardly anything. ","I imagine they will be very different. Scientists will invent new materials that will keep the | body's temperature in a suitable range. In that way people won't feel cold or hot, they will always be at the same temperature. In addition these new materials will weigh hardly anything. "
DJ,IJ,"It was dangerous, but I knew I had to do it. The survival of my family depended on me. We were a poor family, five people living in one room. My father died during the war and my mother stayed alone with four children. We hadn't enough money to buy food , or new clothes and the worst was that my | youngerst brother was terribly ill, and without money we couldn't take him to a doctor. ","It was dangerous, but I knew I had to do it. The survival of my family depended on me. We were a poor family, five people living in one room. My father died during the war and my mother stayed alone with four children. We hadn't enough money to buy food , or new clothes and the worst was that my | youngest brother was terribly ill, and without money we couldn't take him to a doctor. "
TV,FV,"| Thanks you very much for your recent letter. I cannot believe that I won the first prize (it's great!) and, of course, I am very happy. ","| Thank you very much for your recent letter. I cannot believe that I won the first prize (it's great!) and, of course, I am very happy. "
MA,MY,"FIRST OF ALL, IN THE ADVERTISEMENT FOR THE SHOW IT SAID THAT THE ACTOR WAS GOING TO BE DANNY BROOK AND INSTEAD OF HIM | WAS A TOTALLY UNKNOWN CLOWN THAT HAD NO IDEA OF HOW TO ACT , . IT WAS HORRIBLY DISAPPOINTING! ","FIRST OF ALL, IN THE ADVERTISEMENT FOR THE SHOW IT SAID THAT THE ACTOR WAS GOING TO BE DANNY BROOK AND INSTEAD OF HIM | THERE WAS A TOTALLY UNKNOWN CLOWN THAT HAD NO IDEA OF HOW TO ACT , . IT WAS HORRIBLY DISAPPOINTING! "
IN,FN,"The pop singer was called Hikaru Utada, she is only seventeen years old but she is the most popular singer now in Japan. The concert started at 7.00 p.m. At that time I was on the second floor where I had to work . I did a part of gard job. I stood up in front of the | audiences and I had given an attention to them . I couldn't see 'Hikaru' but I still could hear her songs. I thought if you were here I could really enjoy it with you. ","The pop singer was called Hikaru Utada, she is only seventeen years old but she is the most popular singer now in Japan. The concert started at 7.00 p.m. At that time I was on the second floor where I had to work . I did a part of gard job. I stood up in front of the | audience and I had given an attention to them . I couldn't see 'Hikaru' but I still could hear her songs. I thought if you were here I could really enjoy it with you. "
UV,UN,"Concerning the date when I would like to travel, it will be nice to go on the 1st of July . Because , because my summer holidays | break start at the end of June. And I need a few days to prepare my stuff. ","Concerning the date when I would like to travel, it will be nice to go on the 1st of July . Because , because my summer holidays | start at the end of June. And I need a few days to prepare my stuff. "
FV,TV,"All the group would enjoy going to the show, because it is a great opportunity to see an exhibition of the latest fashions. We know that you have planned a very complete programme . But but we would like to suggest you | to move our visit to the Science Museum to Wednesday afternoon , so that , we can go to the show on Tuesday, which lasts from 10 am to 7 pm , which lasts from 10am to 7pm, on Tuesday . ","All the group would enjoy going to the show, because it is a great opportunity to see an exhibition of the latest fashions. We know that you have planned a very complete programme . But but we would like to suggest you | move our visit to the Science Museum to Wednesday afternoon , so that , we can go to the show on Tuesday, which lasts from 10 am to 7 pm , which lasts from 10am to 7pm, on Tuesday . "
TV,IV,"I thought that I would have a great time there, but I was really disappointed with that evening. You said there would be stars such as Danny Brook and Tina Truelove, whose music is my favourite, but the musicians were actually some other people whose names I had never heard of. In the advertisement for the show, you said it would begin at 19.30 , actually . Actually it was delayed 45 minutes. The discounts on tickets that you mentioned did not exist. It made things worse that our visit to your theatre restaurant, which had already been closed because of a lack of customers, was | canceled. Really, what a letdown! ","I thought that I would have a great time there, but I was really disappointed with that evening. You said there would be stars such as Danny Brook and Tina Truelove, whose music is my favourite, but the musicians were actually some other people whose names I had never heard of. In the advertisement for the show, you said it would begin at 19.30 , actually . Actually it was delayed 45 minutes. The discounts on tickets that you mentioned did not exist. It made things worse that our visit to your theatre restaurant, which had already been closed because of a lack of customers, was | cancelled. Really, what a letdown! "
RD,AGD,"Unfortunately, Pat wasn't very good at keeping secrets, and she went to her house to talk about the things I had told her. First she said to her father, then to her mother and finally to her brother, that I was from another planet called Orion, that was a billion kilometres from Earth and then I was so ashamed because I have been | his boyfriend since I came to Earth. ","Unfortunately, Pat wasn't very good at keeping secrets, and she went to her house to talk about the things I had told her. First she said to her father, then to her mother and finally to her brother, that I was from another planet called Orion, that was a billion kilometres from Earth and then I was so ashamed because I have been | her boyfriend since I came to Earth. "
W,AS,"With regard to your letter, I would like to thank and congratulate you for making possible | such a wonderful event as your competition is. ","With regard to your letter, I would like to thank and congratulate you for making possible | an event as wonderful as your competition. "
DN,X,"I have to admit that it was not as I expected; First of all, the main reason I went to see ""Over the Rainbow"" was its actor, Danny Brook. It was very disappointing when I realised he wasn't on the stage. Besides this, I had to wait three quarters of an hour before the show started. During this time, I decided to have a drink in the restaurant but, as well as being closed, there was no nobody from the staff that could help me. I couldn't believe it! I would never have imagined this could happen in such a well-known theatre. Furthermore, you talk about discounts in your leaflets and there were | no available, so, it was an expensive evening! ","I have to admit that it was not as I expected; First of all, the main reason I went to see ""Over the Rainbow"" was its actor, Danny Brook. It was very disappointing when I realised he wasn't on the stage. Besides this, I had to wait three quarters of an hour before the show started. During this time, I decided to have a drink in the restaurant but, as well as being closed, there was no nobody from the staff that could help me. I couldn't believe it! I would never have imagined this could happen in such a well-known theatre. Furthermore, you talk about discounts in your leaflets and there were | none available, so, it was an expensive evening! "
MC,MT,"First, we have to admit that technology has really increased our ability to communicate, to travel and to get information. You can now know what is happening on the other side of the world , at the same time | it is happening. What is more, you can get the information you need in just one second by pressing the ""enter"" key on a computer. ","First, we have to admit that technology has really increased our ability to communicate, to travel and to get information. You can now know what is happening on the other side of the world , at the same time | as it is happening. What is more, you can get the information you need in just one second by pressing the ""enter"" key on a computer. "
UN,U,"You mentioned the rules at home and at school in the letter. This reminds me of what I experienced during my teenage years. In my country the children go to secondary school when they are in the first year of being a teenager. You know, this age is the troublesome age, boys have too much energy and girls want to fall in love with someone. They always annoy the schoolteacher and their parents. As a result of this, the teachers make very strict rules at school, such as students aren't allowed to speak to each other in class. They have to finish homework within a limited time. They cannot oppose the teacher, girls are not allowed to wear make-up or wear any jewellery. At home, in my experience, my parents didn't allow me to go out in the evening and gave me a lot of | amsh homework to do, even in the holiday. They also forbade me to have a boyfriend. I think it is not just what happened in my home, many of my friends had the same experience. ","You mentioned the rules at home and at school in the letter. This reminds me of what I experienced during my teenage years. In my country the children go to secondary school when they are in the first year of being a teenager. You know, this age is the troublesome age, boys have too much energy and girls want to fall in love with someone. They always annoy the schoolteacher and their parents. As a result of this, the teachers make very strict rules at school, such as students aren't allowed to speak to each other in class. They have to finish homework within a limited time. They cannot oppose the teacher, girls are not allowed to wear make-up or wear any jewellery. At home, in my experience, my parents didn't allow me to go out in the evening and gave me a lot of | homework to do, even in the holiday. They also forbade me to have a boyfriend. I think it is not just what happened in my home, many of my friends had the same experience. "
TV,IV,"About the T.V TV . , I spend many hours in front of the T.V TV . It helps me to relax and spend some hours alone. Exactly | happend and with telephone . ","About the T.V TV . , I spend many hours in front of the T.V TV . It helps me to relax and spend some hours alone. Exactly | happened and with telephone . "
UD,UQ,"In my opinion, shopping can be interesting in big stores, where you can find everything, or in shops which sell something special or strange. On the other hand, I don't like going to shops where you see only common things, and I hate it when it is | a lot of crowded. In this case, you have to stay in long queues, you can't walk without being pulled or pushed, and you often have to spend an hour buying some soap or a packet of biscuits. Even if you are with a friend, you can't talk, because of the noise and the confusion, and you may find it difficult also to walk close to each other. ","In my opinion, shopping can be interesting in big stores, where you can find everything, or in shops which sell something special or strange. On the other hand, I don't like going to shops where you see only common things, and I hate it when it is | crowded. In this case, you have to stay in long queues, you can't walk without being pulled or pushed, and you often have to spend an hour buying some soap or a packet of biscuits. Even if you are with a friend, you can't talk, because of the noise and the confusion, and you may find it difficult also to walk close to each other. "
CN,FN,"I would also like to tell you about my free-time activities. I like painting and climbing. I am actually not so good at climbing, but I like the fear of risks and | dangers. My painting is not bad, but many people don't like the way I paint, because I use only a pencil . I am happy`,, because I will have the chance to do these two activities. ","I would also like to tell you about my free-time activities. I like painting and climbing. I am actually not so good at climbing, but I like the fear of risks and | danger. My painting is not bad, but many people don't like the way I paint, because I use only a pencil . I am happy`,, because I will have the chance to do these two activities. "
RP,DN,"And , there should be a robotic servant in everyone's home. So there'll be no need for people to do the | household work. There will be no beds at home because some pills will be invented to prevent people becoming sleepy. If you're tired, the pill can give you vitamins, proteins and make you refreshed. ","And , there should be a robotic servant in everyone's home. So there'll be no need for people to do the | housework. There will be no beds at home because some pills will be invented to prevent people becoming sleepy. If you're tired, the pill can give you vitamins, proteins and make you refreshed. "
IV,RP,"Furthermore, I've chosen two activities, which are | Sailing and Climbing. I climbed for 3 years while I was at school and I think that my standard is still not too bad. Conversely, I've never sailed in my life and would enjoy starting at Camp California. To end , I would like to know how much money we will need for the free time and what kind of clothes and equipment do I need to do the activities I've chosen. ","Furthermore, I've chosen two activities, which are | sailing and climbing. I climbed for 3 years while I was at school and I think that my standard is still not too bad. Conversely, I've never sailed in my life and would enjoy starting at Camp California. To end , I would like to know how much money we will need for the free time and what kind of clothes and equipment do I need to do the activities I've chosen. "
FN,AGN,"It was dangerous, but I knew I had to do it. I was having a | holidays with my parents and some friends in India and we were enjoying talking to people and eating the local food. One day we were invited by some locals to visit a little town five hours away from New Dehli. Although my parents were very happy about having such a special opportunity of visiting a place with no tourists, I was a little bit scared. ","It was dangerous, but I knew I had to do it. I was having a | holiday with my parents and some friends in India and we were enjoying talking to people and eating the local food. One day we were invited by some locals to visit a little town five hours away from New Dehli. Although my parents were very happy about having such a special opportunity of visiting a place with no tourists, I was a little bit scared. "
FN,AGN,"Considering that the school's maths team won this year's city maths competition and is going on to the national schools' maths championship, it would be a good idea to film some of their training | course and also ordinary maths lessons which the majority of the students attend. ","Considering that the school's maths team won this year's city maths competition and is going on to the national schools' maths championship, it would be a good idea to film some of their training | courses and also ordinary maths lessons which the majority of the students attend. "
X,FV,"I find television the most important invention. I think it's good for old people because some of them cannot go to the cinema any more. On the one hand that's because they haven't enough money to pay for it and on the other hand it's because they can't move very well, for example if they are disabled. With television, old people are less alone because most old women | have not their husbands any more. ","I find television the most important invention. I think it's good for old people because some of them cannot go to the cinema any more. On the one hand that's because they haven't enough money to pay for it and on the other hand it's because they can't move very well, for example if they are disabled. With television, old people are less alone because most old women | don't have their husbands any more. "
IN,FN,"My second job was to take the money from the bars and to take it to a little room where I could see the | pop star walking in the corridor. I was very excited when I could see a star! Next weekend I have a date with one of them, but I won't tell you the name because you'll feel jealous! Maybe I will tell you in the next letter! ","My second job was to take the money from the bars and to take it to a little room where I could see the | pop stars walking in the corridor. I was very excited when I could see a star! Next weekend I have a date with one of them, but I won't tell you the name because you'll feel jealous! Maybe I will tell you in the next letter! "
CN,FN,"So suddenly, a week later I found myself a job as an au pair, taking care of two little girls that only spoke French at that time. It took me three months to learn the | languages and by this time the whole family had fallen in love with me, so that when they decided to move to London, they invited me and now we all live here and I feel like part of the family, even though it was very hard at the beginning. ","So suddenly, a week later I found myself a job as an au pair, taking care of two little girls that only spoke French at that time. It took me three months to learn the | language and by this time the whole family had fallen in love with me, so that when they decided to move to London, they invited me and now we all live here and I feel like part of the family, even though it was very hard at the beginning. "
W,DJ,"Secondly, we will have the party in the hotel at 8.00 o'clock and a buffet will be served at 8.30 p.m. It will also be possible to get some vegetarian food and drink cocktails free of charge. I would recommend your students bring their Identity Cards to prove their age. What is more, I would suggest wearing very smart clothes and for men it is | a tie is obligatory. ","Secondly, we will have the party in the hotel at 8.00 o'clock and a buffet will be served at 8.30 p.m. It will also be possible to get some vegetarian food and drink cocktails free of charge. I would recommend your students bring their Identity Cards to prove their age. What is more, I would suggest wearing very smart clothes and for men it is | obliged a tie a tie is obligatory . "
MA,UV,"In fact, | to do shopping can have some disadvantages for different reasons: ","In fact, | shopping can have some disadvantages for different reasons: "
DY,RP,"First I had to make the backdrop for the stage, so I made the background a sky with a lot of bright stars. Then I put in some blue lights. | furthermore I made some stars out of silver-coloured paper. But that was only the beginning of my adventure. ","First I had to make the backdrop for the stage, so I made the background a sky with a lot of bright stars. Then I put in some blue lights. | Furthermore I made some stars out of silver-coloured paper. But that was only the beginning of my adventure. "
AGN,FN,"We are not allowed to talk during | lesson and we have to do our homework every day. Usually we don't have to wear school uniform, but there are schools , in which there is such obligation. In most of the schools students have to change their shoes in order not to make the floor dirty. If I could change anything, I would probably reduce the amount of homework. It's hard to find any spare time sometimes! ","We are not allowed to talk during | lessons and we have to do our homework every day. Usually we don't have to wear school uniform, but there are schools , in which there is such obligation. In most of the schools students have to change their shoes in order not to make the floor dirty. If I could change anything, I would probably reduce the amount of homework. It's hard to find any spare time sometimes! "
DY,FY,I hope to hear from you as | sooner as possible and thanks for understanding my situation. ,I hope to hear from you as | soon as possible and thanks for understanding my situation. 
AGN,RP,"During my two | week sat Camp California, I'd like to practise climbing and surfing, the basics of which I know perfectly well. ","During my two | weeks at Camp California, I'd like to practise climbing and surfing, the basics of which I know perfectly well. "
TV,DJ,The aim of this report is to describe and assess which lessons and activities should be filmed for a short video. It is | base on information made available by students from each class at school. ,The aim of this report is to describe and assess which lessons and activities should be filmed for a short video. It is | based on information made available by students from each class at school. 
AGN,CN,I was doing my | homeworks when I heard an explosion. I came out of my room and I saw my brother on fire. He was playing with fire and alcohol in the bathroom. My first reaction was to put him on the floor so that the fire could be put out. He was screaming because he was in such great pain. ,I was doing my | homework when I heard an explosion. I came out of my room and I saw my brother on fire. He was playing with fire and alcohol in the bathroom. My first reaction was to put him on the floor so that the fire could be put out. He was screaming because he was in such great pain. 
FV,DV,"To help us to live happily, scientists can easily predict the changes on earth , so that we can have time to prepare or | defence ourselves from natural disasters. ","To help us to live happily, scientists can easily predict the changes on earth , so that we can have time to prepare or | defend ourselves from natural disasters. "
DJ,RP,"I have a surprise for you. I am coming to England this summer. Maybe we can meet there... You asked some questions about the rules in school and homes. Let me answer these questions. In schools we aren't allowed to speak in class. Also we must go to school in our uniforms. However we are allowed to eat , and drink during the breaks. We must be kind to our friends and teachers all the time. We mustn't forget the books for the classes. These are the rules in school. In our home there are some rules too! I must be at home by 11pm. I am not allowed to listen to loud music at home. I must be kind to my brother and my parents. When guests come to our home, I must be clean. Other things are allowed to me. I want to change the school uniform rule so everybody can wear what they want. The | Other rules are O.K. I want to hear some rules from you. Next time write the letter quickly! I don't want to wait another 2 months. ","I have a surprise for you. I am coming to England this summer. Maybe we can meet there... You asked some questions about the rules in school and homes. Let me answer these questions. In schools we aren't allowed to speak in class. Also we must go to school in our uniforms. However we are allowed to eat , and drink during the breaks. We must be kind to our friends and teachers all the time. We mustn't forget the books for the classes. These are the rules in school. In our home there are some rules too! I must be at home by 11pm. I am not allowed to listen to loud music at home. I must be kind to my brother and my parents. When guests come to our home, I must be clean. Other things are allowed to me. I want to change the school uniform rule so everybody can wear what they want. The | other rules are O.K. I want to hear some rules from you. Next time write the letter quickly! I don't want to wait another 2 months. "
RP,DN,"Finally, I am aware of the fact that on the last day you have some hours free before you catch your plane. Don't miss the chance to visit our famous tourist attractions. There is also a huge | shop centre , where you can buy some souvenirs or taste some of our traditional food. ","Finally, I am aware of the fact that on the last day you have some hours free before you catch your plane. Don't miss the chance to visit our famous tourist attractions. There is also a huge | shopping centre , where you can buy some souvenirs or taste some of our traditional food. "
MV,MY,"I organised everything like: the place, the food, the decoration , . I sent letters by post to everybody she knows. It seemed | to be the biggest party of her life. ","I organised everything like: the place, the food, the decoration , . I sent letters by post to everybody she knows. It seemed | likely to be the biggest party of her life. "
AS,DV,Now I will give you some further information: I have to travel in July because I have to make sure that I can have a holiday this year and it is my only option! I am sure you can | take attention on this. ,Now I will give you some further information: I have to travel in July because I have to make sure that I can have a holiday this year and it is my only option! I am sure you can | understand this. 
MV,MP,"I was thinking 'what should I do?' I hadn't got my mobile phone with me and I was halfway between my school and home. At that time he was unconscious , . I kept asking myself 'Should I wake him up or try to use my dubious first aid skills to help with him. | I was struggling because I knew if I didn't help him, he would die in a short time. ","I was thinking 'what should I do?' I hadn't got my mobile phone with me and I was halfway between my school and home. At that time he was unconscious , . I kept asking myself 'Should I wake him up or try to use my dubious first aid skills to help with him. | "" I was struggling because I knew if I didn't help him, he would die in a short time. "
FD,RD,"| The Wednesday Pat phoned me and told me that Sally also loved Paul. I had also told Sally my secret. On the Thursday Sally phoned me, because we are also friends, but she did not tell me anything about Paul. ","| That Wednesday Pat phoned me and told me that Sally also loved Paul. I had also told Sally my secret. On the Thursday Sally phoned me, because we are also friends, but she did not tell me anything about Paul. "
FD,RD,"I have recently received a letter saying I am | a first-prize winner in your competition. It was wonderful news and as you have requested, here is some further information and details. ","I have recently received a letter saying I am | the first-prize winner in your competition. It was wonderful news and as you have requested, here is some further information and details. "
RQ,AGQ,"Dear Sir/Madam; I am writing to complain about the musical ""Over The Rainbow"", which was performed at your theatre. Firstly, I had been looking forward to that show since Danny Brook was to be one of the main actors; however, there was | other actor instead of him, which was a great disappointment to me. Secondly, as for the times of the performance, instead of 19.30 it started at 20:15, which meant being stranded at the theatre for such a long time. In addition, I had brought very little money in the hope that I would get a discount. However, there was not any available. Finally, as regards the theatre restaurant, it was closed due to problems with the pipes. As you may realize, it was not a perfect evening out but a complete disaster. I am asking you for a full refund or at least some of my money back. I look forward to hearing from you, Yours faithfully ANDREHI LISA DANZELLI ","Dear Sir/Madam; I am writing to complain about the musical ""Over The Rainbow"", which was performed at your theatre. Firstly, I had been looking forward to that show since Danny Brook was to be one of the main actors; however, there was | another actor instead of him, which was a great disappointment to me. Secondly, as for the times of the performance, instead of 19.30 it started at 20:15, which meant being stranded at the theatre for such a long time. In addition, I had brought very little money in the hope that I would get a discount. However, there was not any available. Finally, as regards the theatre restaurant, it was closed due to problems with the pipes. As you may realize, it was not a perfect evening out but a complete disaster. I am asking you for a full refund or at least some of my money back. I look forward to hearing from you, Yours faithfully ANDREHI LISA DANZELLI "
FN,AGN,"When I received your advertisement concerning the show ""Over the Rainbow"" I thought that I'd have a great evening, but unfortunately it was a big disappointment for me. Maybe I will start from the beginning. First of all, Danny Brook - the main actor in this musical - was absent. The show had a 45-minute delay - what a shame! You also offered discounts , - what kind of discounts? I didn't see any! I was with my son (11 years old) and I had to pay for a full-price ticket. Because the show was very long, we were getting hungry but of course your theatre | restaurants was closed because of the holiday. ","When I received your advertisement concerning the show ""Over the Rainbow"" I thought that I'd have a great evening, but unfortunately it was a big disappointment for me. Maybe I will start from the beginning. First of all, Danny Brook - the main actor in this musical - was absent. The show had a 45-minute delay - what a shame! You also offered discounts , - what kind of discounts? I didn't see any! I was with my son (11 years old) and I had to pay for a full-price ticket. Because the show was very long, we were getting hungry but of course your theatre | restaurant was closed because of the holiday. "
RP,RA,"Unfortunately, Pat wasn't very good at keeping secrets. | I would have been the best party of the year. Last month was my grandmother's birthday and I organised a party for her. ","Unfortunately, Pat wasn't very good at keeping secrets. | It would have been the best party of the year. Last month was my grandmother's birthday and I organised a party for her. "
MT,MC,"I'm sorry to tell you , that I'm really disappointed with your advertisement for the musical show at the Circle Theatre. First of all, I was really looking forward to seeing one of my favourite actors Danny Brook in the show, but you had a different actor, which disappointed me very much. Also, the show didn't start on time, it started half an hour late. And you had written in your advert , that there would be discounts available, which weren't available that evening. After the show we wanted to visit the restaurant, but it was closed because of the painting-works inside the restaurant. Finally we did not have a perfect evening at all! And | of these circumstances, I would like to have a part of my money back. ","I'm sorry to tell you , that I'm really disappointed with your advertisement for the musical show at the Circle Theatre. First of all, I was really looking forward to seeing one of my favourite actors Danny Brook in the show, but you had a different actor, which disappointed me very much. Also, the show didn't start on time, it started half an hour late. And you had written in your advert , that there would be discounts available, which weren't available that evening. After the show we wanted to visit the restaurant, but it was closed because of the painting-works inside the restaurant. Finally we did not have a perfect evening at all! And | because of these circumstances, I would like to have a part of my money back. "
IV,RP,"After that, we should have a morning shot of one of the busiest London tube stations in order to show stressed people going in and out, | Including our protagonist leaving peacefully with a couple of books in his hand - then the school's door, and him going in. ","After that, we should have a morning shot of one of the busiest London tube stations in order to show stressed people going in and out, | including our protagonist leaving peacefully with a couple of books in his hand - then the school's door, and him going in. "
AGN,CN,"We have more time to stay together at home, watching TV, playing games, etc.... because we can access the Internet at home. We can have all the | informations from the Internet. I think it is the best means of education and working when we can stay and learn or work from home. We have more time for the family, who mostly need care and love. ","We have more time to stay together at home, watching TV, playing games, etc.... because we can access the Internet at home. We can have all the | information from the Internet. I think it is the best means of education and working when we can stay and learn or work from home. We have more time for the family, who mostly need care and love. "
RA,AGA,"In your advertisement I read the times of the performances, | it were 14.30 and 10.30, however, it started at 20.15! So I was doing nothing for a long time and I don't like to waste my time, and what about Danny Brook and Tina Truelove? , where Where were they last weekend? Last weekend at the theatre there was a different actor who was disappointing. To make the evening worse there were no discounts available on the tickets, and the theatre restaurant was closed after the show because it was so late when the show was over. ","In your advertisement I read the times of the performances, | they were 14.30 and 10.30, however, it started at 20.15! So I was doing nothing for a long time and I don't like to waste my time, and what about Danny Brook and Tina Truelove? , where Where were they last weekend? Last weekend at the theatre there was a different actor who was disappointing. To make the evening worse there were no discounts available on the tickets, and the theatre restaurant was closed after the show because it was so late when the show was over. "
RD,RP,You wouldn't believe how hard it was. | the stage was covered with all sorts of light and we made it look like a waterfall. ,You wouldn't believe how hard it was. | The stage was covered with all sorts of light and we made it look like a waterfall. 
MA,M,"Finally I would like to do basketball and swimming, because in my school I used to do those sports a lot. | Even now at a sports center, but not much. ","Finally I would like to do basketball and swimming, because in my school I used to do those sports a lot. | I still do so even now at a sports center, but not much. "
MY,MT,"Frankly, if I had a lot of money I would spend my entire life shopping. Although I am someone who loves shopping, I cannot stand the Easters, the Christmas and Sundays, because those days are suitable for anyone to consume the food, buy some presents etc . However, everyone prefers to do the same thing and at the same time. It leads to overcrowded shops, high-pitch high-pitched noise, a lack of parking places and if you have to go shopping with a child, the whole thing is just | enough to drive you crazy. Despite knowing the difficulty we do not avoid shopping on those days. On the other hand, some companies offer special services, such as sending your order by post or taking it on the telephone. It could be the way , to avoid busy times or days , do . Do not take your child with you , ; choose the right shop which has a car park. ","Frankly, if I had a lot of money I would spend my entire life shopping. Although I am someone who loves shopping, I cannot stand the Easters, the Christmas and Sundays, because those days are suitable for anyone to consume the food, buy some presents etc . However, everyone prefers to do the same thing and at the same time. It leads to overcrowded shops, high-pitch high-pitched noise, a lack of parking places and if you have to go shopping with a child, the whole thing is just | about enough to drive you crazy. Despite knowing the difficulty we do not avoid shopping on those days. On the other hand, some companies offer special services, such as sending your order by post or taking it on the telephone. It could be the way , to avoid busy times or days , do . Do not take your child with you , ; choose the right shop which has a car park. "
FV,DV,"Firstly, you need to know , and be conscious of what you are doing. I spent two weeks preparing the stage, speakers, backdrop, microphones, everything, with all the staff, and every night , the artists came to | rehearsal their show , . I could see how they really improved, and how nice they were with the staff. The day of the concert, everyone, including the artists and managers were nervous and were tired , however . However , when the concert started, we saw that all our efforts had been worthwhile , the . The crew and artists thanked the staff. ","Firstly, you need to know , and be conscious of what you are doing. I spent two weeks preparing the stage, speakers, backdrop, microphones, everything, with all the staff, and every night , the artists came to | rehearse their show , . I could see how they really improved, and how nice they were with the staff. The day of the concert, everyone, including the artists and managers were nervous and were tired , however . However , when the concert started, we saw that all our efforts had been worthwhile , the . The crew and artists thanked the staff. "
MT,MC,"I enjoy shopping like any woman. It is amazing and sometimes amusing how charming and strong the spell of luxurious supermarkets and cosy little shops is. And still even this strong spell can be easily shattered. Who can prevent me from having a good, | probably not for my purse, time in the magic world of shopping? The assistant of evil power which frustrates the long-looked-forward-to spell is a shop assistant. Or I would rather say he or she might happen to be such. It's all very nice to be met by a helpful assistant with a radiant smile, ready to help you. But sometimes I really get annoyed at his or her, persistent in nature and polite in structure, questions or suggestions. To say nothing about his or her giving advice! I always make my own decisions! Like any human being I am not delighted to feel guilty, especially when I am not. But I do feel ill at ease when I see disappointed or angry assistants' faces on leaving the magic world without any souvenirs of it! ","I enjoy shopping like any woman. It is amazing and sometimes amusing how charming and strong the spell of luxurious supermarkets and cosy little shops is. And still even this strong spell can be easily shattered. Who can prevent me from having a good, | though probably not for my purse, time in the magic world of shopping? The assistant of evil power which frustrates the long-looked-forward-to spell is a shop assistant. Or I would rather say he or she might happen to be such. It's all very nice to be met by a helpful assistant with a radiant smile, ready to help you. But sometimes I really get annoyed at his or her, persistent in nature and polite in structure, questions or suggestions. To say nothing about his or her giving advice! I always make my own decisions! Like any human being I am not delighted to feel guilty, especially when I am not. But I do feel ill at ease when I see disappointed or angry assistants' faces on leaving the magic world without any souvenirs of it! "
W,AS,"We need light every day, not just at nighttime. We need lamplight in offices and schools and other places during the daytime. How | is the wonderful life since the invention of electric light. Here we are just talking about the light we invented apart from natural light. ","We need light every day, not just at nighttime. We need lamplight in offices and schools and other places during the daytime. How | wonderful life is since the invention of electric light. Here we are just talking about the light we invented apart from natural light. "
MA,MN,"I'm sure you will understand the reasons why I want my money back. If you can't do that, we will accept | to go to another play. ","I'm sure you will understand the reasons why I want my money back. If you can't do that, we will accept | tickets to go to another play. "
AGN,FN,"Our houses will change because of new technology, which may make our | life more comfortable. Everything will be faster. We will get used to that. What depends on us, is the atmosphere we will have in our houses. The home of the future, for me, is a place of happiness. ","Our houses will change because of new technology, which may make our | lives more comfortable. Everything will be faster. We will get used to that. What depends on us, is the atmosphere we will have in our houses. The home of the future, for me, is a place of happiness. "
MY,MC,The aim of this report is to find out what are the most important things people should see | watching the short video film about the daily routine of our school. ,The aim of this report is to find out what are the most important things people should see | when watching the short video film about the daily routine of our school. 
IN,DN,"You can't imagine how many people are involved in the organization of a concert , apart . Apart from the | musicists and the singers, there are people who work with lights, who organize the security... it was so exciting! My work consisted in checking the tickets, the number on them and taking people to their seats. ","You can't imagine how many people are involved in the organization of a concert , apart . Apart from the | musicians and the singers, there are people who work with lights, who organize the security... it was so exciting! My work consisted in checking the tickets, the number on them and taking people to their seats. "
FN,AGN,"So I was suspended, I had a fight with one of my best | friend, all because she wasn't very good at keeping secrets. ","So I was suspended, I had a fight with one of my best | friends, all because she wasn't very good at keeping secrets. "
